ชื่อไทย,ชื่อสามัญ,ชื่อวิทยาศาสตร์,วงศ์ (Family),ถิ่นกำเนิด,รายละเอียด,อ้างอิง (Credit),ประเภท (Catalogy)
คองโก เตตร้า,Congo tetra ,Phenacogrammus interruptus ,Alestidae,แม่น้ำคองโก ประเทศแซร์ ทวีปแอฟริกากลาง,ปลาขนาดเล็กนิยมเลี้ยงรวมกันเป็นฝูงในตู้พรรณไม้น้ำ สามารถเลี้ยงรวมกับปลาชนิดอื่นได้หลายชนิดโดยเฉพาะในกลุ่ม tetra มีลักษณะลำตัวเพรียวยาวและแบนข้าง เกล็ดมีขนาดใหญ่เป็นมันแวววาวสีเหลือบคล้ายสีรุ้งแผ่นหลังมีสีเขียวอมน้ำตาล ปลายครีบหลังและครีบหางมีสีขาวคล้ายครีบขาดแหว่ง ช่วงกึ่งกลางหางมีสีดำ,"ภาพ: นภัทร์ โสภณ, ร้านโรจน์รวมปลา ข้อมูล: อรุณี รอดลอย และคณะ",ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
มองน์ฮอกเซีย,"Red eye moenkhausia, Yellow-banded moenkhausia ",Moenkhausia sanctaefilomenae ,Characidae,ทวีปอเมริกาใต้,เป็นปลาขนาดเล็กอุปนิสัยชอบอยู่รวมกันเป็นฝูง รักสงบ จึงสามารถเลี้ยงรวมกับปลาชนิดอื่นได้ดี แต่ตื่นตกใจง่ายจึงควรจัดให้มีพรรณไม้น้ำในตู้เพื่อเป็นที่หลบซ่อน มีลักษณะลำตัวเพรียวยาวและแบนข้าง พื้นลำตัวสีเงิน แผ่นหลังมีสีเขียวอมน้ำตาล เกล็ดมีขนาดเล็กเป็นมันแวววาว บริเวณโคนครีบหางมีแถบสีดำสลับขาวเห็นได้เด่นชัด ขอบตาด้านบนมีสีแดงสดใส ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
คาร์ดินัล เตตร้า,Cardinal tetra,Paracheirodon axelrodi ,Characidae,ประเทศบราซิล ถึงโคลัมเบีย และเวเนซูเอล่า,เป็นปลาขนาดเล็กสีสันฉูดฉาดสวยงาม อุปนิสัยชอบอยู่รวมกันเป็นฝูง รักสงบ เลี้ยงเป็นฝูงเล็กๆ ในตู้พรรณไม้น้ำ สามารถเลี้ยงรวมกับปลาว่ายเป็นฝูงได้ ลักษณะมีลำตัวเพรียวยาวแบนข้าง มีแถบสีแดงใต้ท้องพาดยาวจากหลังแผ่นปิดเหงือกจนจรดโคนหาง ธรรมชาติอาศัยอยู่ในน้ำที่ค่อนข้างเป็นกรดคือ pH 4.6 - 6.2 ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
ม้าลาย,Zebra danio,Danio rerio ,Cyprinidae,ทางตะวันออกเฉียงเหนือของอินเดีย,เป็นปลาที่มีความว่องไวและปราดเปรียวมาก ชอบอยู่รวมกันเป็นฝูง เลี้ยงรวมกับปลาชนิดอื่นในตู้ที่ตกแต่งด้วยพรรณไม้น้ำ มีลักษณะลำตัวมีสีน้ำตาลปนเขียว มีแถบยาวตามลำตัว 4 แถบคล้ายลายของม้าลาย ขนาดโตเต็มที่มีความยาว 5-6 ซม. เพศเมียค่อนข้างอ้วนป้อมกว่าเพศผู้,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
ม้าลายชมพู,Pink zebra danio,Danio rerio var. ,Cyprinidae,,เป็นปลาที่มีความว่องไวและปราดเปรียวมาก  ชอบอยู่รวมกันเป็นฝูง เลี้ยงรวมกับปลาชนิดอื่นได้ในตู้ที่ตกแต่งด้วยพรรณไม้น้ำ ลักษณะลำตัวมีสีชมพูสดใส เป็นปลาที่เกิดจากการดัดแปลงทางพันธุกรรม มีแถบคาดลำตัวมองเห็นลายจาง ๆ นอกจากม้าลายชมพู ยังมีการพัฒนาสายพันธุ์ให้มีสีอื่น ๆ เช่น ม้าลายสีแดง ม้าลายสีเหลือง เป็นต้น,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
โรซี่บาร์บ,Rosy Barb,Puntius conchonius ,Cyprinidae,ประเทศอินเดีย แคว้นเบนกัลและอัสสัม,เป็นปลาที่มีความว่องไวและปราดเปรียวมาก ชอบอยู่รวมกันเป็นฝูง รักสงบ จึงเลี้ยงรวมกับปลาชนิดอื่นได้ดี ในตู้ที่ตกแต่งด้วยพรรณไม้ ลักษณะมีลำตัวเพรียวยาวและแบนข้าง พื้นลำตัวมีสีแดงอิฐ แผ่นหลังสีเขียวมะกอก เกล็ดมีขนาดเล็กเป็นมันแวววาวระยิบระยับ ลำตัวบริเวณใกล้โคนหางมีจุดสีดำอยู่ ข้างละ 1 จุด เพศผู้จะมีสีแดงเข้มและหางยื่นยาวกว่าเพศเมีย ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
ตะเพียนหน้าแดง,"Red line torpedo barb, Denison barb",Puntius denisonii ,Cyprinidae,ประเทศอินเดีย,เป็นปลาที่มีความว่องไวและปราดเปรียว เลี้ยงเป็นฝูงเล็ก ๆ ร่วมกับปลาชนิดอื่น ๆ ได้ ตกแต่งตู้ด้วยพรรณไม้น้ำ ลักษณะมีลำตัวเรียวยาว เกล็ดสีเงิน มีแถบสีแดงสะท้อนแสงพาดจากหัวผ่านตา ไปสิ้นสุดที่กลางลำตัว และมีเส้นดำพาดตลอดความยาวลำตัวอยู่ใต้แถบแดงอีกทีหนึ่ง ขนาดใหญ่สุดประมาณ 15 ซม.,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
ตะเพียนอินเดีย,Black-spotted barb,Puntius filamentosus ,Cyprinidae,ประเทศอินเดีย ศรีลังกา พม่า,เป็นปลามีนิสัยที่รักสงบ ชอบอยู่รวมกันเป็นฝูงและกระโดดเล่นน้ำ เลี้ยงเป็นฝูงร่วมกับปลาชนิดอื่น ๆ ได้ ลักษณะมีลำตัวเรียวยาวแบนข้าง พื้นลำตัวสีเหลืองอมชมพู ครีบหลัง ครีบอก และครีบหางมีสีแดงจาง ๆ ขอบหางด้านล่างและด้านบนมีแถบสีดำ บริเวณลำตัวค่อนไปทางครีบหางมีจุดสีดำขนาดใหญ่ ปลาเพศผู้เมื่อโตเต็มที่ครีบหลังจะยื่นยาวออกมาเป็นริ้ว และส่วนใหญ่เพศผู้มีรูปร่างเพรียวบางกว่าเพศเมีย ขนาดเฉลี่ย 13-15 ซม.,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
ตะเพียนหกแถบ,Rhomb barb ,Puntius rhomboocellatus ,Cyprinidae,หมู่เกาะบอร์เนียว ประเทศอินโดนีเซีย,เป็นปลาขนาดเล็ก ขนาดประมาณ 8-9 ซม. นิยมเลี้ยงเป็นฝูงเล็ก ๆ ร่วมกับปลาชนิดอื่น ๆ ได้ ในตู้ที่ตกแต่งด้วยพรรณไม้น้ำ มีลักษณะลำตัวมีสีส้มอ่อน ลักษณะเด่นคือมีเครื่องหมายเป็นรูปไข่สีดำบริเวณข้างลำตัว ครีบทุกครีบมีสีส้ม ยกเว้นครีบอก บางครั้งเพศผู้ อาจแสดงนิสัยก้าวร้าวกับเพศเดียวกัน แต่ก็ไม่มากเท่าไรนัก ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
โกลเด้นบาร์บ,Golden barb,Puntius semifasciolatus ,Cyprinidae,ทวีปเอเชีย ตะวันตกเฉียงใต้ของประเทศจีน,เป็นปลาที่มีความว่องไวและปราดเปรียว เลี้ยงเป็นฝูงเล็ก ๆ ร่วมกับปลาชนิดอื่น ๆ ได้ ตกแต่งตู้ด้วยพรรณไม้น้ำ เพศผู้มีลำตัวเพรียวบาง และมีสีสันมากกว่าเพศเมีย พื้นลำตัวมีสีทอง มีจุดประสีดำเล็กกระจายทั่วไป ขนาดเฉลี่ย 6-7 ซม. ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เสือสุมาตรา ,"Tiger barb, Sumatra barb",Puntigrus tetrazona (Bleeker1855),Cyprinidae,เอเชียตะวันออกเฉียงใต้ เกาะบอร์เนียวและสุมาตราในประเทศอินโดนีเซีย,เป็นปลาขนาดเล็ก ขนาดเฉลี่ย 2.5-3 ซม. ลําตัวมีแถบดําพาดขวาง 4 แถบ สองแถบแรกพาดผ่านตาและหน้าครีบหลัง แถบที่สามพาดผ่านโคนครีบหลังและสันหลัง แถบที่สี่พาดผ่านโคนครีบก้นและลําตัว และแถบที่ห้าอยู่บริเวณโคนหาง ครีบหลังมีสีดำบริเวณปลายครีบมีแถบสีส้มแดง ครีบท้องสีส้มแดง มีหนวดที่มุมปากบนหนึ่งคู่ รูปร่างและลายคล้ายปลาเสือข้างลาย ต่างกันที่จำนวนแถบบนลำตัวและความยาวของลำตัวขนาดไม่เกิน 7 เซนติเมตร พฤติกรรมชอบอยู่รวมกันเป็นฝูงนิสัยก้าวร้าว พบในประเทศอินโดนีเซีย ที่เกาะบอร์เนียวและสุมาตรา นิยมนำมาเลี้ยงเป็นปลาสวยงาม,ภาพ: อรุณี รอดลอย ข้อมูล: กองวิจัยและพัฒนาประมงน้ำจืด ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เสือสุมาตราทอง ,Golden tiger barb,Puntius tetrazona var.,Cyprinidae,,"เป็นปลาขนาดเล็กมีขนาดเฉลี่ย 2.5-3 ซม. นิยมเลี้ยงเป็นฝูงเล็ก ๆ ร่วมกับปลาชนิดอื่น ๆ ที่มีขนาดใหญ่กว่าได้ เป็นปลาที่เลี้ยงง่าย มีลักษณะพื้นลำตัวมีสีส้มทอง มีแถบสีขาวพาดขวางลำตัว 4 แถบ

",อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เชอรี่บาร์บ,Cherry barb,Puntius titteya ,Cyprinidae,ศรีลังกา,เป็นปลาขนาดเล็กมีขนาดเฉลี่ยประมาณ 6 ซม.มีความว่องไวและปราดเปรียวมาก ชอบอยู่รวมกันเป็นฝูง เลี้ยงรวมกับปลาชนิดอื่นในตู้ที่ตกแต่งด้วยพรรณไม้น้ำ ลำตัวเพรียวยาวแบนข้าง พื้นลำตัวและครีบมีสีชมพูหรืแชมพูอมแดง แผ่นหลังสีน้ำตาล กลางลำตัวมีแถบสีคล้ำยาวตามลำตัวตั้งแต่ปลายปากจรดโคนหาง บริเวณเหงือกมีสีแดง เพศผู้รูปร่างเพรียวบางกว่าเพศเมีย สีลำตัวและครีบมีสีเข้มกว่า,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
ไว้ท์คลาวด์,White cloud mountain minnow,Tanichthys albonubes ,Cyprinidae,ประเทศสาธารณรัฐประชาชนจีน,เป็นปลาขนาดเล็กชอบอยู่รวมกันเป็นฝูงใหญ่ ตื่นตกใจง่าย เลี้ยงในตู้พรรณไม้น้ำรวมกับปลาอื่นที่มีขนาดไล่เลี่ยกัน มีลักษณะลำตัวเพรียวยาวและแบนข้าง พื้นลำตัวมีสีเงิน แผ่นหลังสีเหลืองมะกอก มีแถบสีฟ้าเขียวสลับชมพูพาดยาวตลอดลำตัว ครีบหลังและครีบหางมีสีแดงส้ม ครีบหลัง ครีบอก และครีบก้นมีขอบครบขาว เกล็ดมีขนาดเล็กเป็นเงาสะท้อนแสง,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
คิลลี่จอร์แดนเนลล่า,American flagfish,Jordanella floridae ,Cyprinodontidae,ทางตอนใต้ของรัฐฟลอริด้า และ Yucatan,ปลาขนาดเล็กมีขนาดประมาณ 6 ซม. สามารถเลี้ยงเป็นฝูงเล็ก ๆ ในตู้พรรณไม้น้ำขนาดเล็ก ซึ่งชนิดนี้เป็นปลาในกลุ่มปลาคิลลี่ การตั้งชื่อสามัญว่า American flagfish มาจากสีสันบนลำตัวของปลาเพศผู้ที่เหมือนลายของธงชาติอเมริกา มีจุดใหญ่สีดำหรือน้ำเงิน และมีแถบสลับแดง น้ำเงินหรือดำบนลำตัว เป็นปลากินพืชที่ชอบกินตะไคร่และสาหร่ายต่าง ๆ ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เฮมิโอดัส,"Redtail hemiodus, Slender hemiodus",Hemiodus gracilis ,Hemiodontidae,ทวีปอเมริกาใต้ ประเทศซานฟรานซิสโก และบราซิล,ปลาขนาดกลางมีขนาดใหญ่ที่สุดประมาณ 15 ซม. ชอบอยู่รวมกันเป็นฝูง 10 ตัวขึ้นไป มีลักษณะลำตัวยาวเรียวแบนข้างเล็กน้อย พื้นลำตัวสีเหลืองอ่อน จุดเด่นอยู่ที่มีแถบสีดำพาดกลางลำตัวตั้งแต่ใต้โคนครีบหลังจรดปลายหางส่วนล่าง ครีบหางมีขอบครีบสีแดง ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เรนโบว์แดง,"New Guinea rainbowfish, Red rainbow",Glossolepis incisus ,Melanotaeniidae,หมู่เกาะนิวกินีในทวีปออสเตรเลีย,สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ เลี้ยงรวมกับปลาชนิดอื่นได้ ปัจจุบันมีการพัฒนาสายพันธุ์ให้มีขนาดของตัวให้สั้น (short body) มีลักษณะลำตัวแบนข้างมาก ส่วนหัวมีขนาดเล็ก พื้นลำตัวสีแดงหรือสีเหลืองทอง เกล็ดมีขนาดเล็กละเอียดลักษณะเป็นมันแวววาวคล้ายโรยด้วยกากเพชร เป็นปลาที่มีความคล่องแคล่วว่องไวมาก ชอบอยู่รวมเป็นฝูงใหญ่,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เรนโบว์สองสี,Boeseman’s rainbowfish,Melanotaenia boesemani ,Melanotaeniidae,หมู่เกาะนิวกีนีในทวีปออสเตรเลีย,เป็นปลาที่มีส่วนหัวเล็ก ลำตัวค่อนไปทางส่วนหน้ามีสีฟ้า ส่วนหลังบริเวณโคนหางสีเหลือง มีแถบสีฟ้าเข้มพาดขวางลำตัว 2 แถบ ในธรรมชาติอาศัยอยู่เป็นฝูงในลำธารที่มีน้ำสะอาด สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ เลี้ยงรวมกับปลาชนิดอื่นได้ ปัจจุบันมีการพัฒนาสายพันธุ์ให้มีขนาดของตัวให้สั้น (short body) ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เรนโบว์สองสี,Boeseman’s rainbowfish,Melanotaenia boesemani ,Melanotaeniidae,หมู่เกาะนิวกีนีในทวีปออสเตรเลีย,"เป็นปลาที่มีส่วนหัวเล็ก ลำตัวค่อนไปทางส่วนหน้ามีสีฟ้า ส่วนหลังบริเวณโคนหางสีเหลือง มีแถบสีฟ้าเข้มพาดขวางลำตัว 2 แถบ ในธรรมชาติอาศัยอยู่เป็นฝูงในลำธารที่มีน้ำสะอาด สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ เลี้ยงรวมกับปลาชนิดอื่นได้ ปัจจุบันมีการพัฒนาสายพันธุ์ให้มีขนาดของตัวให้สั้น (short body) 

",อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เรนโบว์ครีบแดง,Dwarf rainbowfish,Melanotaenia praecox ,Melanotaeniidae,แม่น้ำ Mamberamo ในประเทศอินโดนีเซีย,"รูปร่างคล้ายเรนโบว์แดงแต่มีความกว้างของลำตัวมากกว่า ลำตัวแบนข้างมาก ส่วนหัวมีขนาดเล็ก พื้นลำตัวสีเหลืองอมฟ้า ครีบทุกครีบมีขอบสีแดง เป็นปลาที่มีความคล่องแคล่วว่องไวมาก ชอบอยู่รวมเป็นฝูงใหญ่
สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ เลี้ยงรวมกับปลาชนิดอื่นได้ ",อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
เรนโบว์หางแดง ,Pink-tailed Australian rainbowfish,Melanotaenia splendida,Melanotaeniidae,รัฐควีนแลนด์ ทางตะวันออกของทวีปออสเตรเลีย ,เป้นปลาเรนโบว์ที่มีลำตัวแบนข้างมาก ส่วนหัวมีขนาดเล็ก พื้นลำตัวสีเหลือบน้ำตาลอมชมพู ลำตัวมีแถบสีเข้มพาดตามความยาวตลอดลำตัวหลายแถบ สามารถเลี้ยงในตู้ที่มีพรรณไม้น้ำ เลี้ยงรวมกับปลาชนิดอื่นได้ ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
คิลลี่,Killifish,Nematobrycon rachovii,Nothobranchiidae,ทวีปแอฟริกา ได้แก่ ประเทศโมแซมบิค แทนซาเนีย ไนจีเรีย คาเมรูน ฯลฯ ,"ปลาคิลลี่กลุ่มทั่วไป (Non-Annual Killifish) มีลำตัวกลมยาวหางแฉก สีพื้นสลับลายสีเข้มสดตลอดทั่วลำตัว ค้นพบได้ตามแหล่งน้ำไหลต่าง ๆ เช่น ลำธาร ลำคลอง บึง ฯลฯ ขยายพันธุ์โดยการวางไข่ติดไว้กับพืชน้ำ จำพวกส่าหร่าย วัชพืช และรากไม้น้ำ ปลาคิลลี่กลุ่มฤดูกาล (Annual Killifish) มีลำตัวสั้นกว้าง หางกลมมน สีเข้มสดสลับลายตลอดลำตัว ค้นพบในแหล่งธรรมชาติได้เป็นฤดูกาลบริเวณแหล่งน้ำนิ่งทั่วไป ได้แก่ หนองน้ำ ลำห้วย หรือลำคลองที่มีน้ำตื้น ๆ ปลาชนิดนี้มักจะวางไข่ฝังไว้ในดินโคลนในแหล่งน้ำตื้น ๆ ใกล้แห้งขอดในช่องฤดูร้อนของทุกปี กลไกธรรมชาติได้สร้างให้ไข่ปลาคิลลี่ชนิดนี้ปรับตัวให้มีพัฒนาการเจริญเติบโตอยู่ตามในดินโคลนที่แห้งแล้งได้เป็นอย่างดี เลี้ยงในตู้พรรณไม้น้ำขนาดเล็ก ปลาคิลลี่เป็นปลาที่มีสีสันสดใส มีหลายสายพันธุ์ 



",อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
คิลลี่,Killifish,Nothobranchius guentheri ,Nothobranchiidae,,,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
คิลลี่,Killifish,Nothobranchius orthonotus ,Nothobranchiidae,,,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
คิลลี่,Killifish,Aphyosemion australe ,Nothobranchiidae,,,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
มังกรน้อย,Golden wonder panchax,Aplocheilus lineatus ,Aplocheilidae,ประเทศอินเดีย ศรีลังกา,เป็นปลาผิวน้ำที่ที่มีสีสันสวยงาม ลำตัวมีสีทอง และมีสีแดงปนอยู่บ้างบางส่วน รูปร่างคล้ายใบหอก เพศผู้มีครีบที่ยาวและสีสันสวยงามกว่าเพศเมีย ในวัยอ่อนเพศเมียและเพศผู้จะมีแถบสีดำบริเวณข้างลำตัว อุปนิสัยค่อนข้างก้าวร้าว เป็นปลาที่สร้างอาณาเขต สามารถเลี้ยงในตู้ขนาดเล็ก ตกแต่งด้วยพรรณไม้น้ำ ชอบอยู่ในน้ำที่เป็นกรดอ่อน ๆ,อรุณี รอดลอย และคณะ,ปลาสวยงามเลี้ยงในตู้พรรณไม้น้ำ
